file,integral_Vs
../Data/RawData\acq9386.csv,0.000022414463862645444
../Data/RawData\acq1507.csv,0.000020674659084220145
../Data/RawData\acq4887.csv,0.000011017645988703694
../Data/RawData\acq8931.csv,0.000025377514880845836
../Data/RawData\acq7084.csv,0.000025467643275861847
../Data/RawData\acq7064.csv,0.000022380636881930477
../Data/RawData\acq2750.csv,0.000025399197579466157
../Data/RawData\acq5845.csv,0.00002553408964094444
../Data/RawData\acq4203.csv,0.000024054104795819253
../Data/RawData\acq0584.csv,0.000024512410946648284
../Data/RawData\acq0257.csv,0.00001412786443068617
../Data/RawData\acq9791.csv,0.000023618406803696293
../Data/RawData\acq5387.csv,0.00002276023109557787
../Data/RawData\acq1925.csv,0.000027324795726254166
../Data/RawData\acq7045.csv,0.000027618237927287016
../Data/RawData\acq1698.csv,0.000025892671625029512
../Data/RawData\acq6522.csv,0.00002390296601879217
../Data/RawData\acq0677.csv,0.000024654711509985774
../Data/RawData\acq5109.csv,0.000019448915682074863
../Data/RawData\acq5554.csv,0.00002505298908978084
../Data/RawData\acq5502.csv,0.000023632619386571912
../Data/RawData\acq6507.csv,0.000013191973604124189
../Data/RawData\acq6079.csv,0.00002624691034220866
../Data/RawData\acq2261.csv,0.000025976412017021795
../Data/RawData\acq0269.csv,0.000026649279629268374
../Data/RawData\acq9472.csv,0.000021910701567193522
../Data/RawData\acq6590.csv,0.000025060018490805974
../Data/RawData\acq8555.csv,0.00001833047813748778
../Data/RawData\acq1566.csv,0.00001533079820696282
../Data/RawData\acq2020.csv,0.000031624808400537904
../Data/RawData\acq1592.csv,0.000026367091145894207
../Data/RawData\acq1112.csv,0.000021198198175388036
../Data/RawData\acq5403.csv,0.00002353289666004916
../Data/RawData\acq1170.csv,0.000022704238725284872
../Data/RawData\acq0980.csv,0.000023099031208222154
../Data/RawData\acq8209.csv,0.000023548033334774803
../Data/RawData\acq4331.csv,0.00002157945389947818
../Data/RawData\acq1939.csv,0.000025162142946893696
../Data/RawData\acq6341.csv,0.00002771320238493076
../Data/RawData\acq7428.csv,0.000026311546898961437
../Data/RawData\acq6273.csv,0.00001965380310712647
../Data/RawData\acq5998.csv,0.00002614749353588865
../Data/RawData\acq4345.csv,0.000022894712555143156
../Data/RawData\acq8318.csv,0.000013088700116261315
../Data/RawData\acq0075.csv,0.000020667819685751515
../Data/RawData\acq7440.csv,0.00002388757061070215
../Data/RawData\acq8794.csv,0.00002308224779393228
../Data/RawData\acq7558.csv,0.00001822969152404505
../Data/RawData\acq7460.csv,0.000026031603030080442
../Data/RawData\acq9920.csv,0.000026766808663668455
../Data/RawData\acq1488.csv,0.00002068255876830853
../Data/RawData\acq8429.csv,0.000027695808259897286
../Data/RawData\acq9709.csv,0.000021659489557397314
../Data/RawData\acq0017.csv,0.000022984246746413878
../Data/RawData\acq6349.csv,0.000020453857193415447
../Data/RawData\acq8963.csv,0.000025840223916164497
../Data/RawData\acq7667.csv,0.000014094993906162981
../Data/RawData\acq2316.csv,0.00002312309529531344
../Data/RawData\acq4463.csv,0.000013416569567818824
../Data/RawData\acq4423.csv,0.000023790788953024236
../Data/RawData\acq4869.csv,0.000025350133799421625
../Data/RawData\acq2266.csv,0.000024630712503489375
../Data/RawData\acq3199.csv,0.000025531023994892594
../Data/RawData\acq8040.csv,0.00002610150027707532
../Data/RawData\acq1998.csv,0.000025457133214539213
../Data/RawData\acq1648.csv,0.000026825063349638047
../Data/RawData\acq8808.csv,0.000026657725849760884
../Data/RawData\acq6709.csv,0.000020331239207042617
../Data/RawData\acq6492.csv,0.00001612897135029654
../Data/RawData\acq1245.csv,0.000024349861626738013
../Data/RawData\acq3394.csv,0.00001791395584206255
../Data/RawData\acq4983.csv,0.000025477607994730588
../Data/RawData\acq1785.csv,0.000023704072078078473
../Data/RawData\acq9292.csv,0.000024878416340736353
../Data/RawData\acq3412.csv,0.000025176535329329365
../Data/RawData\acq1961.csv,0.000025174484400247473
../Data/RawData\acq3795.csv,0.000024837370255705178
../Data/RawData\acq4682.csv,0.000027594465136461818
../Data/RawData\acq6970.csv,0.000024107647506625572
../Data/RawData\acq6019.csv,0.000024680674662587408
../Data/RawData\acq5829.csv,0.00002360272392468458
../Data/RawData\acq0564.csv,0.000017520670604047856
../Data/RawData\acq5935.csv,0.000024663400842908407
../Data/RawData\acq0706.csv,0.00002625040578000765
../Data/RawData\acq2519.csv,0.000023336180471735875
../Data/RawData\acq3673.csv,0.000029313521708166043
../Data/RawData\acq8416.csv,0.00002672515882790556
../Data/RawData\acq5559.csv,0.000025472906913185358
../Data/RawData\acq3810.csv,0.000020819609614699105
../Data/RawData\acq4643.csv,0.000022685946652713748
../Data/RawData\acq7325.csv,0.000026822110585282073
../Data/RawData\acq9679.csv,0.000024520355646392042
../Data/RawData\acq4475.csv,0.000022471506872609188
../Data/RawData\acq2303.csv,9.943138104024508e-6
../Data/RawData\acq3751.csv,0.000025629756207897416
../Data/RawData\acq8364.csv,0.000027122145914119253
../Data/RawData\acq2703.csv,0.000013559898117779166
../Data/RawData\acq1586.csv,0.00002240798036267943
../Data/RawData\acq6511.csv,0.000021635825112405323
../Data/RawData\acq9168.csv,0.000026715821262900006
../Data/RawData\acq0041.csv,0.000025495648242247952
../Data/RawData\acq3872.csv,0.000024012059920076445
../Data/RawData\acq8650.csv,0.000024680379821541858
../Data/RawData\acq9006.csv,0.00002492674700894667
../Data/RawData\acq7528.csv,0.000024961013943308927
../Data/RawData\acq7753.csv,0.000018839405071232613
../Data/RawData\acq8925.csv,0.000025058684661507247
../Data/RawData\acq6502.csv,0.00001856268121537986
../Data/RawData\acq7068.csv,0.000017072553153503473
../Data/RawData\acq5525.csv,0.000027757124014741132
../Data/RawData\acq9841.csv,0.00002593238567285305
../Data/RawData\acq0896.csv,0.000016488931449062522
../Data/RawData\acq9290.csv,0.000027565972834050978
../Data/RawData\acq4117.csv,0.00002722202261233621
../Data/RawData\acq0122.csv,0.000028172842247676463
../Data/RawData\acq5425.csv,0.000023848117022248743
../Data/RawData\acq9628.csv,0.00002373962521283276
../Data/RawData\acq9563.csv,0.00002313005207266728
../Data/RawData\acq8631.csv,0.000022544868249246615
../Data/RawData\acq3923.csv,0.00001525927997853896
../Data/RawData\acq5504.csv,0.00002555115774139535
../Data/RawData\acq3820.csv,0.00002108691272056913
../Data/RawData\acq6000.csv,0.00002479995327871681
../Data/RawData\acq6541.csv,0.00002283340070882277
../Data/RawData\acq2797.csv,0.000024372941685589464
../Data/RawData\acq6218.csv,0.000024648954692709756
../Data/RawData\acq3382.csv,0.000025760947603112457
../Data/RawData\acq9907.csv,0.000024875293011035006
../Data/RawData\acq6224.csv,0.000022764111176522647
../Data/RawData\acq4758.csv,0.000025438587375802232
../Data/RawData\acq9632.csv,0.000023736122724052357
../Data/RawData\acq3853.csv,0.000024135031336417207
../Data/RawData\acq9508.csv,0.00002371783639479228
../Data/RawData\acq4660.csv,0.000026019371918411585
../Data/RawData\acq2450.csv,0.000025416718832538644
../Data/RawData\acq2851.csv,0.000025363463074057657
../Data/RawData\acq0942.csv,0.000023859596305110697
../Data/RawData\acq8112.csv,0.00002465512158679576
../Data/RawData\acq6531.csv,0.000026529427834599585
../Data/RawData\acq6069.csv,0.00002543506142299754
../Data/RawData\acq7854.csv,0.000025752554535973056
../Data/RawData\acq5118.csv,0.00001630250039608257
../Data/RawData\acq1994.csv,0.000025296884847265113
