#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B282B2
#Date Time: 2026-05-20 11:56:31.699
#Sample rate: 7952.92Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 50 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.5150020230769231,0.000513072210303174,0.0005308362964939419
-0.5148762830769231,0.000513072210303174,0.0005308362964939419
-0.5147505430769231,0.000513072210303174,0.0008662229192190859
-0.5146248030769232,0.000513072210303174,0.0005308362964939419
-0.5144990630769232,0.000513072210303174,0.0005308362964939419
-0.5143733230769232,0.000513072210303174,0.0005308362964939419
-0.5142475830769231,0.0001773710156618563,0.0005308362964939419
-0.5141218430769231,0.000513072210303174,0.0005308362964939419
-0.5139961030769231,0.000513072210303174,0.0005308362964939419
-0.5138703630769231,0.00017737101566170366,0.0005308362964939419
-0.5137446230769231,0.000513072210303174,0.0005308362964939419
-0.5136188830769232,0.000513072210303174,0.0005308362964939419
-0.5134931430769232,0.000513072210303174,0.0005308362964939419
-0.5133674030769231,0.0005130722103030214,0.0005308362964940945
-0.5132416630769231,0.0001773710156618563,0.0008662229192189333
-0.5131159230769231,0.000513072210303174,0.0005308362964939419
-0.5129901830769231,0.00017737101566170366,0.0005308362964939419
-0.5128644430769231,0.000513072210303174,0.0005308362964939419
-0.5127387030769232,0.00017737101566170366,0.0005308362964939419
-0.5126129630769232,0.0005130722103030214,0.0005308362964939419
-0.5124872230769232,0.000513072210303174,0.0005308362964939419
-0.5123614830769231,0.0005130722103030214,0.0008662229192190859
-0.5122357430769231,0.0001773710156618563,0.0008662229192189333
-0.5121100030769231,0.000513072210303174,0.0005308362964939419
-0.5119842630769231,0.000513072210303174,0.0005308362964939419
-0.5118585230769231,0.00017737101566170366,0.0005308362964939419
-0.5117327830769232,0.0005130722103030214,0.0008662229192189334
-0.5116070430769232,0.000513072210303174,0.0008662229192190859
-0.5114813030769231,0.000513072210303174,0.0005308362964939419
-0.5113555630769231,0.000513072210303174,0.0005308362964939419
-0.5112298230769231,0.000513072210303174,0.0005308362964939419
-0.5111040830769231,0.000513072210303174,0.0005308362964939419
-0.5109783430769231,0.000513072210303174,0.0008662229192190859
-0.5108526030769232,0.00017737101566170366,0.0005308362964939419
-0.5107268630769232,0.00017737101566170366,0.0005308362964939419
-0.5106011230769232,0.0005130722103030214,0.0008662229192189334
-0.5104753830769231,0.0005130722103030214,0.0008662229192190859
-0.5103496430769231,0.0001773710156618563,0.0008662229192190859
-0.5102239030769231,0.000513072210303174,0.0008662229192190859
-0.5100981630769231,0.000513072210303174,0.0005308362964939419
-0.5099724230769231,0.000513072210303174,0.0005308362964939419
-0.5098466830769232,0.000513072210303174,0.0008662229192190859
-0.5097209430769232,0.000513072210303174,0.0005308362964940945
-0.5095952030769231,0.0001773710156618563,0.0008662229192190859
-0.5094694630769231,0.000513072210303174,0.0008662229192189333
-0.5093437230769231,0.000513072210303174,0.0005308362964939419
-0.5092179830769231,0.000513072210303174,0.0008662229192190859
-0.5090922430769231,0.000513072210303174,0.0005308362964939419
-0.5089665030769231,0.000513072210303174,0.0008662229192190859
-0.5088407630769232,0.000513072210303174,0.0005308362964940945
-0.5087150230769232,0.000513072210303174,0.0005308362964939419
-0.5085892830769231,0.000513072210303174,0.0005308362964940945
-0.5084635430769231,0.000513072210303174,0.0008662229192189333
-0.5083378030769231,0.000513072210303174,0.0005308362964939419
-0.5082120630769231,0.000513072210303174,0.0005308362964939419
