#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B282B2
#Date Time: 2026-05-20 12:13:05.600
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 250 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.00111975,0.0008487734049446444
-0.0011184999999999997,-0.0001583301789797667
-0.0011172499999999993,0.00017737101566170366
-0.0011159999999999998,0.00017737101566170366
-0.0011147499999999994,-0.0001583301789797667
-0.0011135,0.000513072210303174
-0.0011122499999999995,0.00017737101566170366
-0.001111,0.00017737101566170366
-0.0011097499999999996,0.000513072210303174
-0.0011084999999999992,-0.0004940313736210844
-0.0011072499999999997,-0.0001583301789797667
-0.0011059999999999993,-0.0001583301789794614
-0.0011047499999999998,0.000513072210303174
-0.0011034999999999994,0.0011844745995861147
-0.00110225,0.000513072210303174
-0.0011009999999999995,-0.0008297325682627074
-0.00109975,-0.000158330178980072
-0.0010984999999999997,-0.0004940313736212371
-0.0010972499999999993,-0.0008297325682620968
-0.0010959999999999998,0.000513072210303174
-0.0010947499999999994,0.0005130722103030214
-0.0010934999999999999,0.00017737101566170366
-0.0010922499999999995,0.00017737101566170366
-0.001091,0.0005130722103030214
-0.0010897499999999996,-0.0001583301789797667
-0.0010885,-0.0001583301789797667
-0.0010872499999999997,0.00017737101566170366
-0.0010859999999999993,0.00017737101566170366
-0.0010847499999999998,0.00017737101566170366
-0.0010834999999999994,0.000513072210303174
-0.0010822499999999999,0.00017737101566170366
-0.0010809999999999995,-0.0001583301789797667
-0.00107975,0.000177371015661551
-0.0010784999999999996,0.00017737101566170366
-0.00107725,-0.00015833017897961404
-0.0010759999999999997,0.0008487734049446444
-0.0010747499999999993,0.00017737101566139835
-0.0010734999999999998,-0.0004940313736212371
-0.0010722499999999994,0.000513072210303174
-0.001071,-0.0008297325682627074
-0.0010697499999999995,-0.0004940313736212371
-0.0010685,0.0008487734049440337
-0.0010672499999999996,0.00017737101566170366
-0.0010659999999999992,0.0005130722103028687
-0.0010647499999999997,-0.0001583301789797667
-0.0010634999999999993,-0.0001583301789797667
-0.0010622499999999998,-0.0001583301789797667
-0.0010609999999999994,0.000513072210303174
-0.00105975,0.000513072210303174
-0.0010584999999999995,-0.0001583301789797667
-0.00105725,0.000177371015661551
-0.0010559999999999996,0.00017737101566170366
-0.0010547499999999993,-0.0004940313736209317
